기준년월,휴게소내판매순위,휴게소코드,휴게소명,매장코드,매장명,판매상품SEQ,판매상품명
2025-11,1,S000001,서울만남(부산)휴게소,0025,말죽거리한식당,1100000709,말죽거리소고기국밥
2025-11,2,S000001,서울만남(부산)휴게소,0146,돈가스잔치,1100040400,(돈가스잔치)옛날돈가스
2025-11,3,S000001,서울만남(부산)휴게소,0133,효원당,1100035951,우리밀 호두과자(14개입)
2025-11,4,S000001,서울만남(부산)휴게소,0133,효원당,1100035950,우리밀 호두과자 선물용(24개입)
2025-11,5,S000001,서울만남(부산)휴게소,0133,효원당,1100006220,(알뜰간식)우리밀 호두과자(7개입)
2025-11,1,S000003,죽전(서울)휴게소,0097,우동전문점,1100045433,부산어묵우동7500
2025-11,2,S000003,죽전(서울)휴게소,0097,우동전문점,1100045427,유부우동6500
2025-11,3,S000003,죽전(서울)휴게소,0002,자율식당,1100000464,대구따로국밥
2025-11,4,S000003,죽전(서울)휴게소,0002,자율식당,1100042722,(자율식당)단배추된장국
2025-11,5,S000003,죽전(서울)휴게소,0007,호도과자,1100035083,호두과자(15개입)
2025-11,1,S000005,기흥(부산)휴게소,0158,북창동순두부,1100001864,북창동순두부
2025-11,2,S000005,기흥(부산)휴게소,0159,애햄부대찌개,1100017382,아이스 카라멜마끼아또
2025-11,3,S000005,기흥(부산)휴게소,0149,크로커다일,1300000666,크로커다일_100000
2025-11,4,S000005,기흥(부산)휴게소,0146,코바코02,1100034555,(실속상품)ex-라면
2025-11,5,S000005,기흥(부산)휴게소,0140,올떡,1100003119,(알뜰간식)옛날핫도그
2025-11,1,S000009,안성(부산)휴게소,0072,1.안성국밥,1100023467,안성국밥
2025-11,2,S000009,안성(부산)휴게소,0058,2.소머리국밥,1100027561,한우소머리국밥
2025-11,3,S000009,안성(부산)휴게소,0061,5.열린매장 A,1100033804,맥반석오징어(8000)
2025-11,4,S000009,안성(부산)휴게소,0058,2.소머리국밥,1100031699,한우육개장
2025-11,5,S000009,안성(부산)휴게소,0075,1.한식,1100033465,32.해물순두부찌개(표준레시피)
2025-11,1,S000011,입장거봉포도(서울)휴게소,0134,호두과자(18년직영),1100006261,호두과자(20개입)
2025-11,2,S000011,입장거봉포도(서울)휴게소,0001,입장반상1,1100033292,흑돼지김치찌개
2025-11,3,S000011,입장거봉포도(서울)휴게소,0181,박순자아우내순대,1100000713,박순자순대국밥
2025-11,4,S000011,입장거봉포도(서울)휴게소,0050,탐앤탐스(커피),1100045794,(탐앤탐스)ICE아메리카노(T)
2025-11,5,S000011,입장거봉포도(서울)휴게소,0050,탐앤탐스(커피),1100045803,(탐앤탐스)HOT아메리카노(T)
2025-11,1,S000013,망향(부산)휴게소,0012,501_호두과자,1100035951,우리밀호두과자6000
2025-11,2,S000013,망향(부산)휴게소,0001,101_한국관,1100040880,명품한우국밥
2025-11,3,S000013,망향(부산)휴게소,0049,701_양식당,1100042788,등심돈가스
